Rank (Borda);Model;Zero-shot;Memory Usage (MB);Number of Parameters;Embedding Dimensions;Max Tokens;Retrieval
29;[KaLM-embedding-multilingual-mini-instruct-v1](https://huggingface.co/HIT-TMG/KaLM-embedding-multilingual-mini-instruct-v1);100%;1885;494M;896;512;68.76
30;[Solon-embeddings-large-0.1](https://huggingface.co/OrdalieTech/Solon-embeddings-large-0.1);⚠️ NA;2136;559M;1024;514;64.31
31;[bilingual-embedding-large](https://huggingface.co/Lajavaness/bilingual-embedding-large);100%;2136;559M;1024;514;63.86
32;[bge-m3](https://huggingface.co/BAAI/bge-m3);100%;2167;568M;4096;8194;65.63
33;[stella_en_400M_v5](https://huggingface.co/NovaSearch/stella_en_400M_v5);100%;1660;435M;4096;8192;47.02
34;[Cohere-embed-english-v3.0](https://huggingface.co/Cohere/Cohere-embed-english-v3.0);⚠️ NA;Unknown;Unknown;1024;Unknown;49.28
35;[GIST-large-Embedding-v0](https://huggingface.co/avsolatorio/GIST-large-Embedding-v0);100%;1278;335M;1024;512;47.28
35;[bilingual-embedding-small](https://huggingface.co/Lajavaness/bilingual-embedding-small);100%;449;117M;384;512;63.24
37;[snowflake-arctic-embed-m-v1.5](https://huggingface.co/Snowflake/snowflake-arctic-embed-m-v1.5);100%;415;109M;768;512;43.68
38;[NoInstruct-small-Embedding-v0](https://huggingface.co/avsolatorio/NoInstruct-small-Embedding-v0);⚠️ NA;127;33M;384;512;47.25
39;[GIST-Embedding-v0](https://huggingface.co/avsolatorio/GIST-Embedding-v0);100%;418;109M;768;512;46.37
39;[voyage-multilingual-2](https://blog.voyageai.com/2024/06/10/voyage-multilingual-2-multilingual-embedding-model/);100%;Unknown;Unknown;1024;32000;
39;[voyage-law-2](https://blog.voyageai.com/2024/04/15/domain-specific-embeddings-and-retrieval-legal-edition-voyage-law-2/);100%;Unknown;Unknown;1024;16000;
39;[granite-embedding-278m-multilingual](https://huggingface.co/ibm-granite/granite-embedding-278m-multilingual);100%;530;278M;768;512;58.48
43;[nomic-embed-text-v1-unsupervised](https://huggingface.co/nomic-ai/nomic-embed-text-v1-unsupervised);100%;Unknown;Unknown;768;8192;45.4
44;[GIST-small-Embedding-v0](https://huggingface.co/avsolatorio/GIST-small-Embedding-v0);100%;127;33M;384;512;46.46
45;[voyage-large-2-instruct](https://blog.voyageai.com/2024/05/05/voyage-large-2-instruct-instruction-tuned-and-rank-1-on-mteb/);100%;Unknown;Unknown;1024;16000;
46;[gte-small](https://huggingface.co/thenlper/gte-small);⚠️ NA;64;33M;384;512;46.54
46;[bge-m3-custom-fr](https://huggingface.co/manu/bge-m3-custom-fr);100%;2166;567M;1024;8194;60.59
48;[snowflake-arctic-embed-m](https://huggingface.co/Snowflake/snowflake-arctic-embed-m);100%;415;109M;768;512;41.4
49;[UAE-Large-V1](https://huggingface.co/WhereIsAI/UAE-Large-V1);100%;1278;335M;1024;512;45.48
50;[Cohere-embed-english-light-v3.0](https://cohere.com/blog/introducing-embed-v3);⚠️ NA;Unknown;Unknown;384;512;47.02
51;[granite-embedding-125m-english](https://huggingface.co/ibm-granite/granite-embedding-125m-english);100%;238;125M;768;512;42.02
52;[multilingual-e5-large](https://huggingface.co/intfloat/multilingual-e5-large);100%;2136;560M;1024;514;62.06
53;[sgpt-bloom-7b1-msmarco](https://huggingface.co/bigscience/sgpt-bloom-7b1-msmarco);⚠️ NA;Unknown;Unknown;4096;Unknown;55.31
54;[bge-base-en-v1.5](https://huggingface.co/BAAI/bge-base-en-v1.5);100%;390;109M;768;512;46.08
55;[mxbai-embed-large-v1](https://huggingface.co/mixedbread-ai/mxbai-embed-large-v1);100%;639;335M;1024;512;45.09
56;[snowflake-arctic-embed-l](https://huggingface.co/Snowflake/snowflake-arctic-embed-l);100%;1274;335M;1024;512;40.89
57;[SearchMap_Preview](https://huggingface.co/VPLabs/SearchMap_Preview);⚠️ NA;1660;435M;4096;8192;
58;[MedEmbed-small-v0.1](https://huggingface.co/abhinand/MedEmbed-small-v0.1);100%;127;33M;384;512;43.54
59;[gte-large](https://huggingface.co/thenlper/gte-large);⚠️ NA;639;335M;1024;512;44.78
60;[Ivysaur](https://huggingface.co/Mihaiii/Ivysaur);⚠️ NA;87;22M;384;512;44.71
61;[snowflake-arctic-embed-s](https://huggingface.co/Snowflake/snowflake-arctic-embed-s);100%;127;32M;384;512;40.31
62;[gte-base](https://huggingface.co/thenlper/gte-base);⚠️ NA;209;109M;768;512;44.4
63;[gte-Qwen1.5-7B-instruct](https://huggingface.co/Alibaba-NLP/gte-Qwen1.5-7B-instruct);⚠️ NA;29449;7B;4096;32768;
63;[multilingual-e5-base](https://huggingface.co/intfloat/multilingual-e5-base);100%;1061;278M;768;514;60.94
65;[speed-embedding-7b-instruct](https://huggingface.co/Haon-Chen/speed-embedding-7b-instruct);⚠️ NA;13563;7B;Unknown;32768;54.45
66;[sentence_croissant_alpha_v0.3](https://huggingface.co/manu/sentence_croissant_alpha_v0.3);100%;2441;1B;2048;2048;47.43
67;[bilingual-embedding-base](https://huggingface.co/Lajavaness/bilingual-embedding-base);100%;1061;278M;768;514;60.72
68;[granite-embedding-107m-multilingual](https://huggingface.co/ibm-granite/granite-embedding-107m-multilingual);100%;204;107M;384;512;56.94
69;[bge-large-en-v1.5](https://huggingface.co/BAAI/bge-large-en-v1.5);100%;1242;335M;1024;512;43.67
70;[GIST-all-MiniLM-L6-v2](https://huggingface.co/avsolatorio/GIST-all-MiniLM-L6-v2);100%;87;22M;384;512;40.54
71;[multilingual-e5-small](https://huggingface.co/intfloat/multilingual-e5-small);100%;449;118M;384;512;60.44
72;[snowflake-arctic-embed-xs](https://huggingface.co/Snowflake/snowflake-arctic-embed-xs);100%;86;22M;384;512;38.88
73;[udever-bloom-7b1](https://huggingface.co/izhx/udever-bloom-7b1);100%;Unknown;Unknown;Unknown;Unknown;54.9
74;[sentence_croissant_alpha_v0.4](https://huggingface.co/manu/sentence_croissant_alpha_v0.4);100%;2441;1B;2048;2048;45.25
75;[nomic-embed-text-v1-ablated](https://huggingface.co/nomic-ai/nomic-embed-text-v1-ablated);100%;Unknown;Unknown;768;8192;44.07
76;[e5-large](https://huggingface.co/intfloat/e5-large);100%;1278;335M;1024;512;39.51
77;[bge-small-en-v1.5](https://huggingface.co/BAAI/bge-small-en-v1.5);100%;127;33M;512;512;42.76
78;[paraphrase-multilingual-mpnet-base-v2](https://huggingface.co/sentence-transformers/paraphrase-multilingual-mpnet-base-v2);100%;1061;278M;768;512;46.23
79;[e5-small-v2](https://huggingface.co/intfloat/e5-small-v2);100%;127;33M;384;512;43.45
79;[snowflake-arctic-embed-m-long](https://huggingface.co/Snowflake/snowflake-arctic-embed-m-long);100%;522;137M;768;2048;38.45
81;[LLM2Vec-Mistral-7B-Instruct-v2-mntp-supervised](https://huggingface.co/McGill-NLP/LLM2Vec-Mistral-7B-Instruct-v2-mntp-supervised);100%;27126;7B;4096;32768;40.05
82;[e5-base-v2](https://huggingface.co/intfloat/e5-base-v2);100%;418;109M;768;512;42.14
82;[b1ade-embed](https://huggingface.co/w601sxs/b1ade-embed);100%;1278;335M;1024;4096;
84;[paraphrase-multilingual-MiniLM-L12-v2](https://huggingface.co/sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2);100%;449;118M;768;512;46.38
85;[nomic-embed-text-v1](https://huggingface.co/nomic-ai/nomic-embed-text-v1);100%;522;Unknown;768;8192;42.55
85;[nomic-embed-text-v1.5](https://huggingface.co/nomic-ai/nomic-embed-text-v1.5);100%;522;137M;768;8192;41.49
85;[USER-bge-m3](https://huggingface.co/deepvk/USER-base);100%;1370;359M;1024;8194;39.14
88;[udever-bloom-1b1](https://huggingface.co/izhx/udever-bloom-1b1);100%;Unknown;Unknown;Unknown;Unknown;54.98
89;[e5-large-v2](https://huggingface.co/intfloat/e5-large-v2);100%;1278;335M;1024;514;42.9
90;[arabic-english-sts-matryoshka](https://huggingface.co/omarelshehy/arabic-english-sts-matryoshka);⚠️ NA;2136;559M;1024;514;45.96
91;[sentence_croissant_alpha_v0.2](https://huggingface.co/manu/sentence_croissant_alpha_v0.2);100%;2441;1B;2048;2048;44.53
92;[udever-bloom-3b](https://huggingface.co/izhx/udever-bloom-3b);100%;Unknown;Unknown;Unknown;Unknown;50.33
93;[stella-base-en-v2](https://huggingface.co/infgrad/stella-base-en-v2);⚠️ NA;Unknown;Unknown;Unknown;512;41.64
94;[granite-embedding-30m-english](https://huggingface.co/ibm-granite/granite-embedding-30m-english);100%;58;30M;384;512;37.95
95;[e5-base-4k](https://huggingface.co/dwzhu/e5-base-4k);100%;Unknown;Unknown;Unknown;4096;38.69
95;[Arabic-labse-Matryoshka](https://huggingface.co/Omartificial-Intelligence-Space/Arabic-labse-Matryoshka);⚠️ NA;1796;470M;768;512;45.2
97;[Arabic-all-nli-triplet-Matryoshka](https://huggingface.co/Omartificial-Intelligence-Space/Arabic-all-nli-triplet-Matryoshka);100%;1061;278M;768;514;45.61
97;[mmlw-e5-base](https://huggingface.co/sdadas/mmlw-e5-base);100%;1061;278M;768;514;37.76
99;[ternary-weight-embedding](https://huggingface.co/malenia1/ternary-weight-embedding);⚠️ NA;158;98M;1024;512;36.17
100;[Arabic-MiniLM-L12-v2-all-nli-triplet](https://huggingface.co/Omartificial-Intelligence-Space/Arabic-MiniLM-L12-v2-all-nli-triplet);100%;449;117M;384;512;46.32
101;[all-MiniLM-L12-v2](https://huggingface.co/sentence-transformers/all-MiniLM-L12-v2);100%;127;33M;384;256;40.06
102;[static-similarity-mrl-multilingual-v1](https://huggingface.co/sentence-transformers/static-similarity-mrl-multilingual-v1);100%;413;108M;1024;Unknown;49.21
103;[e5-small](https://huggingface.co/intfloat/e5-small);100%;127;33M;384;512;37.5
104;[all-mpnet-base-v2](https://huggingface.co/sentence-transformers/all-mpnet-base-v2);100%;418;109M;768;384;38.01
105;[jina-embedding-b-en-v1](https://huggingface.co/jinaai/jina-embedding-b-en-v1);100%;420;110M;768;512;37.48
106;[STS-multilingual-mpnet-base-v2](https://huggingface.co/Gameselo/STS-multilingual-mpnet-base-v2);100%;1061;278M;768;514;40.65
107;[mmlw-e5-large](https://huggingface.co/sdadas/mmlw-e5-large);100%;2136;559M;1024;514;37.12
108;[mmlw-e5-small](https://huggingface.co/sdadas/mmlw-e5-small);100%;449;117M;384;512;37.36
109;[jina-embedding-s-en-v1](https://huggingface.co/jinaai/jina-embedding-s-en-v1);100%;134;35M;512;512;37.63
110;[Wartortle](https://huggingface.co/Mihaiii/Wartortle);100%;66;17M;384;512;35.98
111;[gte-micro-v4](https://huggingface.co/Mihaiii/gte-micro-v4);⚠️ NA;73;19M;384;512;36.62
112;[LLM2Vec-Mistral-7B-Instruct-v2-mntp-unsup-simcse](https://huggingface.co/McGill-NLP/LLM2Vec-Mistral-7B-Instruct-v2-mntp-unsup-simcse);100%;27126;7B;4096;32768;34.47
113;[mmlw-roberta-large](https://huggingface.co/sdadas/mmlw-roberta-large);100%;1659;434M;1024;514;36.58
114;[Bulbasaur](https://huggingface.co/Mihaiii/Bulbasaur);⚠️ NA;66;17M;384;512;36.27
115;[mmlw-roberta-base](https://huggingface.co/sdadas/mmlw-roberta-base);100%;475;124M;768;514;36.6
116;[e5-base](https://huggingface.co/intfloat/e5-base);100%;418;109M;768;512;36.28
117;[all-MiniLM-L6-v2](https://huggingface.co/sentence-transformers/all-MiniLM-L6-v2);100%;87;22M;384;256;35.91
117;[Squirtle](https://huggingface.co/Mihaiii/Squirtle);100%;60;15M;384;512;33.89
117;[slx-v0.1](https://huggingface.co/brahmairesearch/slx-v0.1);⚠️ NA;87;22M;384;512;35.91
120;[LaBSE](https://huggingface.co/sentence-transformers/LaBSE);100%;1796;471M;768;512;38.23
121;[potion-base-8M](https://huggingface.co/minishlab/potion-base-8M);100%;29;7M;256;Infinite;36.33
122;[udever-bloom-560m](https://huggingface.co/izhx/udever-bloom-560m);100%;Unknown;Unknown;Unknown;Unknown;31.55
123;[text2vec-base-multilingual](https://huggingface.co/shibing624/text2vec-base-chinese-paraphrase);100%;449;118M;384;256;37.32
124;[potion-base-4M](https://huggingface.co/minishlab/potion-base-4M);100%;14;3M;128;Infinite;35.35
125;[embedder-100p](https://huggingface.co/deepfile/embedder-100p);⚠️ NA;1061;Unknown;768;514;35.86
126;[Venusaur](https://huggingface.co/Mihaiii/Venusaur);⚠️ NA;60;15M;384;512;32.85
127;[Conan-embedding-v2](https://huggingface.co/TencentBAC/Conan-embedding-v2);100%;Unknown;Unknown;3584;32768;
128;[Ops-MoA-Yuan-embedding-1.0](https://huggingface.co/OpenSearch-AI/Ops-MoA-Yuan-embedding-1.0);66%;2000;343M;1536;512;
129;[Ops-MoA-Conan-embedding-v1](https://huggingface.co/OpenSearch-AI/Ops-MoA-Conan-embedding-v1);66%;2000;343M;1536;512;
130;[Conan-embedding-v1](https://huggingface.co/Classical/Yinka);⚠️ NA;1242;326M;768;512;
131;[ritrieve_zh_v1](https://huggingface.co/richinfoai/ritrieve_zh_v1);100%;1242;326M;1792;512;
132;[MiniCPM-Embedding](https://huggingface.co/openbmb/MiniCPM-Embedding);⚠️ NA;5197;2B;2304;512;
133;[xiaobu-embedding-v2](https://huggingface.co/lier007/xiaobu-embedding-v2);⚠️ NA;1242;326M;768;512;
134;[ru-en-RoSBERTa](https://huggingface.co/ai-forever/ru-en-RoSBERTa);100%;1540;404M;1024;512;35.67
134;[zpoint_large_embedding_zh](https://huggingface.co/iampanda/zpoint_large_embedding_zh);100%;1242;326M;1792;512;
136;[potion-base-2M](https://huggingface.co/minishlab/potion-base-2M);100%;7;2M;64;Infinite;32.09
136;[gte-large-zh](https://huggingface.co/thenlper/gte-large-zh);⚠️ NA;621;326M;1024;512;
138;[xiaobu-embedding](https://huggingface.co/lier007/xiaobu-embedding);⚠️ NA;1244;326M;1024;512;
139;[piccolo-large-zh-v2](https://huggingface.co/sensenova/piccolo-large-zh-v2);⚠️ NA;Unknown;Unknown;1024;512;
140;[Yinka](https://huggingface.co/Classical/Yinka);⚠️ NA;1244;326M;1024;512;
140;[M2V_base_output](https://huggingface.co/minishlab/M2V_base_output);100%;29;7M;256;Infinite;32.71
142;[piccolo-base-zh](https://huggingface.co/sensenova/piccolo-base-zh);⚠️ NA;Unknown;Unknown;768;512;
142;[gemma-2b-embeddings](https://huggingface.co/Jaume/gemma-2b-embeddings);100%;9560;2B;2048;8192;26.12
144;[M2V_base_glove_subword](https://huggingface.co/minishlab/M2V_base_glove_subword);100%;391;103M;256;Infinite;31.91
145;[LaBSE-ru-turbo](https://huggingface.co/sergeyzh/LaBSE-ru-turbo);100%;490;129M;768;512;34.12
145;[stella-large-zh-v3-1792d](https://huggingface.co/dunzhang/stella-large-zh-v3-1792d);100%;Unknown;Unknown;1792;512;
147;[stella-mrl-large-zh-v3.5-1792d](https://huggingface.co/dunzhang/stella-mrl-large-zh-v3.5-1792d);100%;1242;326M;1792;512;
148;[stella-base-zh-v3-1792d](https://huggingface.co/infgrad/stella-base-zh-v3-1792d);100%;Unknown;Unknown;1792;512;
149;[gme-Qwen2-VL-7B-Instruct](https://huggingface.co/Alibaba-NLP/gme-Qwen2-VL-7B-Instruct);100%;31629;8B;3584;32768;
150;[gme-Qwen2-VL-2B-Instruct](https://huggingface.co/Alibaba-NLP/gme-Qwen2-VL-2B-Instruct);100%;8427;2B;1536;32768;
150;[KartonBERT-USE-base-v1](https://huggingface.co/OrlikB/KartonBERT-USE-base-v1);⚠️ NA;396;103M;768;512;33.47
152;[bge-multilingual-gemma2](https://huggingface.co/BAAI/bge-multilingual-gemma2);100%;35254;9B;3584;8192;
153;[gte-base-zh](https://huggingface.co/thenlper/gte-base-zh);⚠️ NA;195;102M;1024;512;
154;[LaBSE-en-ru](https://huggingface.co/cointegrated/LaBSE-en-ru);100%;492;129M;768;512;27.51
154;[Dmeta-embedding-zh-small](https://huggingface.co/DMetaSoul/Dmeta-embedding-zh-small/);⚠️ NA;283;74M;768;1024;
156;[bge-base-zh-v1.5](https://huggingface.co/BAAI/bge-base-zh-v1.5);100%;416;109M;768;512;
157;[bge-large-zh](https://huggingface.co/BAAI/bge-large-zh);100%;1242;335M;1024;512;
158;[gte-micro](https://huggingface.co/Mihaiii/gte-micro);⚠️ NA;66;17M;384;512;29.34
159;[bge-large-zh-v1.5](https://huggingface.co/BAAI/bge-large-zh-v1.5);100%;1278;335M;1024;512;
160;[cai-lunaris-text-embeddings](https://huggingface.co/consciousAI/cai-lunaris-text-embeddings);⚠️ NA;Unknown;Unknown;1024;512;30.22
161;[German_Semantic_STS_V2](https://huggingface.co/aari1995/German_Semantic_STS_V2);⚠️ NA;1281;335M;1024;512;29.94
162;[M2V_base_glove](https://huggingface.co/minishlab/M2V_base_glove);100%;391;102M;256;Infinite;31.99
163;[sbert_large_nlu_ru](https://huggingface.co/ai-forever/sbert_large_nlu_ru);100%;1629;427M;1024;512;13.93
163;[rubert-tiny2](https://huggingface.co/cointegrated/rubert-tiny2);100%;112;29M;312;2048;24.7
165;[bge-base-zh](https://huggingface.co/BAAI/bge-base-zh);100%;390;109M;768;512;
166;[st-polish-kartonberta-base-alpha-v1](https://huggingface.co/OrlikB/st-polish-kartonberta-base-alpha-v1);⚠️ NA;Unknown;Unknown;768;514;31.85
167;[bge-small-zh-v1.5](https://huggingface.co/BAAI/bge-small-zh-v1.5);100%;91;33M;512;512;
168;[rubert-tiny-turbo](https://huggingface.co/sergeyzh/rubert-tiny-turbo);100%;111;29M;312;2048;27.89
168;[bge-small-zh](https://huggingface.co/BAAI/bge-small-zh);100%;127;33M;512;512;
170;[rubert-base-cased-sentence](https://huggingface.co/DeepPavlov/rubert-base-cased-sentence);100%;408;107M;768;512;16.52
171;[m3e-base](https://huggingface.co/moka-ai/m3e-base);100%;390;102M;768;512;
172;[gte-small-zh](https://huggingface.co/thenlper/gte-small-zh);⚠️ NA;58;30M;1024;512;
173;[m3e-large](https://huggingface.co/moka-ai/m3e-large);100%;Unknown;Unknown;768;512;
174;[USER-base](https://huggingface.co/deepvk/USER-base);100%;473;427M;768;512;29.85
175;[Arabert-all-nli-triplet-Matryoshka](https://huggingface.co/Omartificial-Intelligence-Space/Arabert-all-nli-triplet-Matryoshka);100%;516;135M;768;512;16.16
176;[text-embedding-ada-002](https://openai.com/index/new-and-improved-embedding-model/);⚠️ NA;Unknown;Unknown;1536;8191;
177;[silma-embeddding-matryoshka-v0.1](https://huggingface.co/silma-ai/silma-embeddding-matryoshka-v0.1);⚠️ NA;516;135M;768;512;19.53
178;[distilrubert-small-cased-conversational](https://huggingface.co/DeepPavlov/distilrubert-small-cased-conversational);100%;408;107M;768;512;18.26
178;[text2vec-base-chinese](https://huggingface.co/shibing624/text2vec-base-chinese);100%;390;102M;768;512;
180;[sbert-chinese-general-v1](https://huggingface.co/DMetaSoul/sbert-chinese-general-v1);100%;Unknown;Unknown;128;512;
180;[static-retrieval-mrl-en-v1](https://huggingface.co/sentence-transformers/static-retrieval-mrl-en-v1);100%;119;31M;1024;Unknown;
182;[rubert-tiny](https://huggingface.co/cointegrated/rubert-tiny);100%;45;11M;312;512;22.06
183;[rubert-base-cased](https://huggingface.co/DeepPavlov/rubert-base-cased);100%;4883;1B;768;512;9.15
184;[Arabic-mpnet-base-all-nli-triplet](https://huggingface.co/Omartificial-Intelligence-Space/Arabic-mpnet-base-all-nli-triplet);100%;418;109M;768;514;21.69
185;[jina-embeddings-v2-small-en](https://huggingface.co/jinaai/jina-embeddings-v2-small-en);100%;62;32M;512;8192;11.29
186;[sbert_large_mt_nlu_ru](https://huggingface.co/ai-forever/sbert_large_mt_nlu_ru);100%;1629;427M;1024;512;10.94
187;[Marbert-all-nli-triplet-Matryoshka](https://huggingface.co/Omartificial-Intelligence-Space/Marbert-all-nli-triplet-Matryoshka);100%;621;162M;768;512;10.33
188;[jina-embeddings-v2-base-en](https://huggingface.co/jinaai/jina-embeddings-v2-base-en);100%;262;137M;768;8192;3.92
189;[deberta-v1-base](https://huggingface.co/deepvk/deberta-v1-base);100%;473;124M;768;512;6.72
190;[SONAR](https://ai.meta.com/research/publications/sonar-sentence-level-multimodal-and-language-agnostic-representations/);100%;Unknown;Unknown;1024;512;
